benchmark,job_id,node,prompt_level,submission_index,variant,case,metric_name,metric_value,metric_unit,correctness,status,result_type,accepted,reject_reason,notes
moe-align,948025,gn1222,P3,0,baseline,tokens=1;topk=2;experts=32;block_size=32,mean_latency,12.146792,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=1;topk=3;experts=32;block_size=32,mean_latency,11.874591,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=1;topk=4;experts=32;block_size=32,mean_latency,11.868820,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=1;topk=2;experts=128;block_size=32,mean_latency,16.031113,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=1;topk=3;experts=128;block_size=32,mean_latency,16.121828,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=1;topk=4;experts=128;block_size=32,mean_latency,16.032597,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=3;topk=2;experts=32;block_size=32,mean_latency,11.884285,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=3;topk=3;experts=32;block_size=32,mean_latency,11.880395,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=3;topk=4;experts=32;block_size=32,mean_latency,11.940042,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=3;topk=2;experts=128;block_size=32,mean_latency,16.108702,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=3;topk=3;experts=128;block_size=32,mean_latency,16.099634,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=3;topk=4;experts=128;block_size=32,mean_latency,16.023811,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=256;topk=2;experts=32;block_size=32,mean_latency,13.471622,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=256;topk=3;experts=32;block_size=32,mean_latency,14.411423,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=256;topk=4;experts=32;block_size=32,mean_latency,16.527103,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=256;topk=2;experts=128;block_size=32,mean_latency,16.340113,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=256;topk=3;experts=128;block_size=32,mean_latency,16.358351,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=256;topk=4;experts=128;block_size=32,mean_latency,16.373653,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=4096;topk=2;experts=32;block_size=32,mean_latency,20.918079,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=4096;topk=3;experts=32;block_size=32,mean_latency,23.445854,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=4096;topk=4;experts=32;block_size=32,mean_latency,25.639772,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=4096;topk=2;experts=128;block_size=32,mean_latency,20.339113,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=4096;topk=3;experts=128;block_size=32,mean_latency,22.807653,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=4096;topk=4;experts=128;block_size=32,mean_latency,24.908403,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=8192;topk=2;experts=32;block_size=32,mean_latency,25.815418,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=8192;topk=3;experts=32;block_size=32,mean_latency,30.832838,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=8192;topk=4;experts=32;block_size=32,mean_latency,36.020889,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=8192;topk=2;experts=128;block_size=32,mean_latency,24.770954,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=8192;topk=3;experts=128;block_size=32,mean_latency,29.501812,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948025,gn1222,P3,0,baseline,tokens=8192;topk=4;experts=128;block_size=32,mean_latency,34.489407,us,PASS,BASELINE,NO_EFFECT,true,,Baseline unmodified source; full official sweep.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=1;topk=2;experts=32;block_size=32,mean_latency,12.159183,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=1;topk=3;experts=32;block_size=32,mean_latency,11.843885,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=1;topk=4;experts=32;block_size=32,mean_latency,11.844079,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=1;topk=2;experts=128;block_size=32,mean_latency,12.594707,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=1;topk=3;experts=128;block_size=32,mean_latency,12.603094,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=1;topk=4;experts=128;block_size=32,mean_latency,12.606314,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=3;topk=2;experts=32;block_size=32,mean_latency,11.857630,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=3;topk=3;experts=32;block_size=32,mean_latency,11.863289,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=3;topk=4;experts=32;block_size=32,mean_latency,11.975542,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
