benchmark,job_id,node,prompt_level,submission_index,variant,case,metric_name,metric_value,metric_unit,correctness,status,result_type,accepted,reject_reason,notes
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=524288;method=MPI,transfer_time,0.000033175,s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=524288;method=MPI,bandwidth,15.803493246,GB/s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=1048576;method=MPI,transfer_time,0.000054209,s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=1048576;method=MPI,bandwidth,19.343044553,GB/s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=2097152;method=MPI,transfer_time,0.000096907,s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=2097152;method=MPI,bandwidth,21.640831980,GB/s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=4194304;method=MPI,transfer_time,0.000181802,s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=4194304;method=MPI,bandwidth,23.070669459,GB/s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=8388608;method=MPI,transfer_time,0.000355284,s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=8388608;method=MPI,bandwidth,23.610988908,GB/s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=16777216;method=MPI,transfer_time,0.000700942,s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=16777216;method=MPI,bandwidth,23.935238359,GB/s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=33554432;method=MPI,transfer_time,0.001392492,s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=33554432;method=MPI,bandwidth,24.096675704,GB/s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=67108864;method=MPI,transfer_time,0.002775246,s,PASS,accepted,MEASURE_FIX,true,,full_sweep
pingpong-cuda,948531,gn1228,P3,1,make_all_3trials,trial=1;size_bytes=67108864;method=MPI,bandwidth,24.181229910,GB/s,PASS,accepted,MEASURE_FIX,true,,full_sweep
