benchmark,job_id,node,prompt_level,submission_index,variant,case,metric_name,metric_value,metric_unit,correctness,status,result_type,accepted,reject_reason,notes
softmax-cuda,948563,gn1222,P3,0,baseline,numSlice=100000;slice=64;impl=0;repeat=100;trial=1,avg_ms,1.562978,ms,PASS,accepted baseline,KERNEL_OPT,true,,baseline does not count as submission
softmax-cuda,948563,gn1222,P3,0,baseline,numSlice=100000;slice=64;impl=1;repeat=100;trial=1,avg_ms,0.073627,ms,PASS,accepted baseline,KERNEL_OPT,true,,baseline does not count as submission
softmax-cuda,948563,gn1222,P3,0,baseline,numSlice=100000;slice=128;impl=0;repeat=100;trial=1,avg_ms,4.371422,ms,PASS,accepted baseline,KERNEL_OPT,true,,baseline does not count as submission
softmax-cuda,948563,gn1222,P3,0,baseline,numSlice=100000;slice=128;impl=1;repeat=100;trial=1,avg_ms,0.136389,ms,PASS,accepted baseline,KERNEL_OPT,true,,baseline does not count as submission
softmax-cuda,948563,gn1222,P3,0,baseline,numSlice=100000;slice=256;impl=0;repeat=100;trial=1,avg_ms,15.592968,ms,PASS,accepted baseline,KERNEL_OPT,true,,baseline does not count as submission
softmax-cuda,948563,gn1222,P3,0,baseline,numSlice=100000;slice=256;impl=1;repeat=100;trial=1,avg_ms,0.305836,ms,PASS,accepted baseline,KERNEL_OPT,true,,baseline does not count as submission
softmax-cuda,948563,gn1222,P3,0,baseline,numSlice=100000;slice=512;impl=0;repeat=100;trial=1,avg_ms,32.658607,ms,PASS,accepted baseline,KERNEL_OPT,true,,baseline does not count as submission
softmax-cuda,948563,gn1222,P3,0,baseline,numSlice=100000;slice=512;impl=1;repeat=100;trial=1,avg_ms,0.841365,ms,PASS,accepted baseline,KERNEL_OPT,true,,baseline does not count as submission
softmax-cuda,948563,gn1222,P3,0,baseline,numSlice=100000;slice=784;impl=0;repeat=100;trial=1,avg_ms,54.675507,ms,PASS,accepted baseline,KERNEL_OPT,true,,baseline does not count as submission
softmax-cuda,948563,gn1222,P3,0,baseline,numSlice=100000;slice=784;impl=1;repeat=100;trial=1,avg_ms,1.450565,ms,PASS,accepted baseline,KERNEL_OPT,true,,baseline does not count as submission
