benchmark,job_id,node,prompt_level,submission_index,variant,case,metric_name,metric_value,metric_unit,correctness,status,result_type,accepted,reject_reason,notes
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=3072;topk=2048,average_topk_execution_time,759.317505,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=3072;topk=1024,average_topk_execution_time,771.874817,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=4096;topk=2048,average_topk_execution_time,723.648804,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=4096;topk=1024,average_topk_execution_time,698.179504,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=8192;topk=2048,average_topk_execution_time,1129.265625,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=8192;topk=1024,average_topk_execution_time,888.295715,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=16384;topk=2048,average_topk_execution_time,1526.136719,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=16384;topk=1024,average_topk_execution_time,1636.261841,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=32768;topk=2048,average_topk_execution_time,3569.070557,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=32768;topk=1024,average_topk_execution_time,3420.527832,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=65536;topk=2048,average_topk_execution_time,6443.983887,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=65536;topk=1024,average_topk_execution_time,6393.727051,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=131072;topk=2048,average_topk_execution_time,11988.903320,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948627,gn1223,P3,0,baseline,batch_size=3072;hidden_size=131072;topk=1024,average_topk_execution_time,11881.122070,us,PASS,accepted,KERNEL_OPT,true,,baseline
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=3072;topk=2048,average_topk_execution_time,415.478973,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=3072;topk=1024,average_topk_execution_time,368.898010,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=4096;topk=2048,average_topk_execution_time,420.489288,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=4096;topk=1024,average_topk_execution_time,407.956085,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=8192;topk=2048,average_topk_execution_time,661.634460,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=8192;topk=1024,average_topk_execution_time,584.254456,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=16384;topk=2048,average_topk_execution_time,1124.381958,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=16384;topk=1024,average_topk_execution_time,1231.946899,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=32768;topk=2048,average_topk_execution_time,3014.556641,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=32768;topk=1024,average_topk_execution_time,2878.518799,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=65536;topk=2048,average_topk_execution_time,5618.833984,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=65536;topk=1024,average_topk_execution_time,5430.580078,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=131072;topk=2048,average_topk_execution_time,10746.741211,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948629,gn1223,P3,1,attempt1_cached_workspace,batch_size=3072;hidden_size=131072;topk=1024,average_topk_execution_time,10516.866211,us,PASS,accepted,KERNEL_OPT,true,,cached workspace
topk-cuda,948631,gn1223,P3,2,attempt2_cached_workspace_block512,batch_size=3072;hidden_size=3072;topk=2048,average_topk_execution_time,327.458252,us,PASS,rejected,REGRESSION,false,mean slower than attempt1,block size 512
topk-cuda,948631,gn1223,P3,2,attempt2_cached_workspace_block512,batch_size=3072;hidden_size=3072;topk=1024,average_topk_execution_time,275.118378,us,PASS,rejected,REGRESSION,false,mean slower than attempt1,block size 512
topk-cuda,948631,gn1223,P3,2,attempt2_cached_workspace_block512,batch_size=3072;hidden_size=4096;topk=2048,average_topk_execution_time,361.612885,us,PASS,rejected,REGRESSION,false,mean slower than attempt1,block size 512
topk-cuda,948631,gn1223,P3,2,attempt2_cached_workspace_block512,batch_size=3072;hidden_size=4096;topk=1024,average_topk_execution_time,347.936432,us,PASS,rejected,REGRESSION,false,mean slower than attempt1,block size 512
topk-cuda,948631,gn1223,P3,2,attempt2_cached_workspace_block512,batch_size=3072;hidden_size=8192;topk=2048,average_topk_execution_time,678.446655,us,PASS,rejected,REGRESSION,false,mean slower than attempt1,block size 512
topk-cuda,948631,gn1223,P3,2,attempt2_cached_workspace_block512,batch_size=3072;hidden_size=8192;topk=1024,average_topk_execution_time,582.995544,us,PASS,rejected,REGRESSION,false,mean slower than attempt1,block size 512
topk-cuda,948631,gn1223,P3,2,attempt2_cached_workspace_block512,batch_size=3072;hidden_size=16384;topk=2048,average_topk_execution_time,1165.190430,us,PASS,rejected,REGRESSION,false,mean slower than attempt1,block size 512
