benchmark,mode,round,job_id,node,case,variant,metric_name,metric_value,unit,baseline_metric,speedup,correctness,status,result_type,mean,min,max,stddev,cv,profiler_available,human_decision,notes
softmax-cuda,Mode_A,baseline,949514,gn1221.twcc.ai,slice=128;batch=100000;impl=0,original,avg_ms,4.394363,ms,n/a,n/a,PASS,SUCCESS,BASELINE,4.394363,4.354439,4.419226,0.034921,0.007947,True,None_Agent_Only,
softmax-cuda,Mode_A,baseline,949514,gn1221.twcc.ai,slice=128;batch=100000;impl=1,original,avg_ms,0.135219,ms,n/a,n/a,PASS,SUCCESS,BASELINE,0.135219,0.135122,0.135346,0.000115,0.000850,True,None_Agent_Only,
softmax-cuda,Mode_A,baseline,949514,gn1221.twcc.ai,slice=256;batch=100000;impl=0,original,avg_ms,15.664402,ms,n/a,n/a,PASS,SUCCESS,BASELINE,15.664402,15.639208,15.687251,0.024107,0.001539,True,None_Agent_Only,
softmax-cuda,Mode_A,baseline,949514,gn1221.twcc.ai,slice=256;batch=100000;impl=1,original,avg_ms,0.311178,ms,n/a,n/a,PASS,SUCCESS,BASELINE,0.311178,0.304863,0.323328,0.010525,0.033822,True,None_Agent_Only,
softmax-cuda,Mode_A,baseline,949514,gn1221.twcc.ai,slice=784;batch=100000;impl=0,original,avg_ms,54.548634,ms,n/a,n/a,PASS,SUCCESS,BASELINE,54.548634,54.527901,54.576683,0.025201,0.000462,True,None_Agent_Only,
softmax-cuda,Mode_A,baseline,949514,gn1221.twcc.ai,slice=784;batch=100000;impl=1,original,avg_ms,1.452493,ms,n/a,n/a,PASS,SUCCESS,BASELINE,1.452493,1.451983,1.452825,0.000449,0.000309,True,None_Agent_Only,
softmax-cuda,Mode_A,baseline,949514,gn1221.twcc.ai,slice=1024;batch=100000;impl=0,original,avg_ms,64.488403,ms,n/a,n/a,PASS,SUCCESS,BASELINE,64.488403,64.409737,64.540901,0.069387,0.001076,True,None_Agent_Only,
softmax-cuda,Mode_A,baseline,949514,gn1221.twcc.ai,slice=1024;batch=100000;impl=1,original,avg_ms,2.107711,ms,n/a,n/a,PASS,SUCCESS,BASELINE,2.107711,2.106789,2.108917,0.001092,0.000518,True,None_Agent_Only,
softmax-cuda,Mode_A,baseline,949514,gn1221.twcc.ai,slice=2048;batch=50000;impl=0,original,avg_ms,41.671560,ms,n/a,n/a,PASS,SUCCESS,BASELINE,41.671560,40.959240,42.777184,0.970694,0.023294,True,None_Agent_Only,
softmax-cuda,Mode_A,baseline,949514,gn1221.twcc.ai,slice=2048;batch=50000;impl=1,original,avg_ms,2.242357,ms,n/a,n/a,PASS,SUCCESS,BASELINE,2.242357,2.238132,2.249533,0.006247,0.002786,True,None_Agent_Only,
softmax-cuda,Mode_A,final,949514,gn1221.twcc.ai,slice=128;batch=100000;impl=0,original,avg_ms,4.410299,ms,4.394363,0.996387,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,4.410299,4.405009,4.417497,0.006459,0.001465,True,None_Agent_Only,
softmax-cuda,Mode_A,final,949514,gn1221.twcc.ai,slice=128;batch=100000;impl=1,original,avg_ms,0.135268,ms,0.135219,0.999638,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,0.135268,0.135093,0.135373,0.000153,0.001128,True,None_Agent_Only,
softmax-cuda,Mode_A,final,949514,gn1221.twcc.ai,slice=256;batch=100000;impl=0,original,avg_ms,15.659853,ms,15.664402,1.000290,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,15.659853,15.632080,15.689182,0.028583,0.001825,True,None_Agent_Only,
softmax-cuda,Mode_A,final,949514,gn1221.twcc.ai,slice=256;batch=100000;impl=1,original,avg_ms,0.304802,ms,0.311178,1.020920,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,0.304802,0.304695,0.305013,0.000183,0.000600,True,None_Agent_Only,
softmax-cuda,Mode_A,final,949514,gn1221.twcc.ai,slice=784;batch=100000;impl=0,original,avg_ms,54.510415,ms,54.548634,1.000701,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,54.510415,54.492378,54.528549,0.018086,0.000332,True,None_Agent_Only,
softmax-cuda,Mode_A,final,949514,gn1221.twcc.ai,slice=784;batch=100000;impl=1,original,avg_ms,1.451394,ms,1.452493,1.000757,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,1.451394,1.450200,1.453122,0.001532,0.001056,True,None_Agent_Only,
softmax-cuda,Mode_A,final,949514,gn1221.twcc.ai,slice=1024;batch=100000;impl=0,original,avg_ms,64.548899,ms,64.488403,0.999063,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,64.548899,64.514076,64.599464,0.044818,0.000694,True,None_Agent_Only,
softmax-cuda,Mode_A,final,949514,gn1221.twcc.ai,slice=1024;batch=100000;impl=1,original,avg_ms,2.118590,ms,2.107711,0.994865,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,2.118590,2.107990,2.139697,0.018280,0.008628,True,None_Agent_Only,
softmax-cuda,Mode_A,final,949514,gn1221.twcc.ai,slice=2048;batch=50000;impl=0,original,avg_ms,41.940634,ms,41.671560,0.993584,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,41.940634,41.108715,43.221004,1.125288,0.026830,True,None_Agent_Only,
softmax-cuda,Mode_A,final,949514,gn1221.twcc.ai,slice=2048;batch=50000;impl=1,original,avg_ms,2.237325,ms,2.242357,1.002249,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,2.237325,2.236122,2.238385,0.001138,0.000509,True,None_Agent_Only,
