benchmark,mode,stage,candidate,variant,impl,baseline_impl,mode_b_impl,mode_c_impl,dispatch_selected_impl,numSlice,sliceSize,repeat,trial_id,time_ms,impl1_time_ms,impl3_time_ms,impl4_time_ms,speedup_vs_impl1,speedup_vs_impl3,correctness_status,measurement_validity,speedup_claim_valid,result_type,mode_c_final_label,final_confirmation_status,mean_ms,min_ms,max_ms,stddev_ms,cv,raw_stdout_path,raw_stderr_path,build_log_path,slurm_job_id,hostname,gpu_name,cuda_version,profiler_status,official_timing_used,notes
softmax-cuda,Mode_C,final_confirmation,impl4_shape_specialized_large_reduce,paired_impl1_baseline,1,1,3,4,1,100000,128,100,1,0.140887,0.140887,0.137155,0.135834,n/a,0.973511,PASS,VALID,false,BASELINE,SUCCESS_WITH_ADDITIONAL_SPEEDUP,CONFIRMED,0.137974,0.135768,0.140887,0.002632,0.019075,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_1_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_1_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/build.log,950691,gn1224.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,true,paired impl=1 baseline
softmax-cuda,Mode_C,final_confirmation,impl4_shape_specialized_large_reduce,paired_impl1_baseline,1,1,3,4,1,100000,128,100,2,0.137266,0.137266,0.135696,0.137277,n/a,0.988562,PASS,VALID,false,BASELINE,SUCCESS_WITH_ADDITIONAL_SPEEDUP,CONFIRMED,0.137974,0.135768,0.140887,0.002632,0.019075,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_1_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_1_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/build.log,950691,gn1224.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,true,paired impl=1 baseline
softmax-cuda,Mode_C,final_confirmation,impl4_shape_specialized_large_reduce,paired_impl1_baseline,1,1,3,4,1,100000,128,100,3,0.135768,0.135768,0.137164,0.136533,n/a,1.010282,PASS,VALID,false,BASELINE,SUCCESS_WITH_ADDITIONAL_SPEEDUP,CONFIRMED,0.137974,0.135768,0.140887,0.002632,0.019075,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_1_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_1_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/build.log,950691,gn1224.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,true,paired impl=1 baseline
softmax-cuda,Mode_C,final_confirmation,impl4_shape_specialized_large_reduce,mode_b_impl3_shape_dispatch_impl1_small_impl2_large,3,1,3,4,1,100000,128,100,1,0.137155,0.140887,0.137155,0.135834,1.027210,n/a,PASS,VALID,false,MODE_B_BASELINE,SUCCESS_WITH_ADDITIONAL_SPEEDUP,CONFIRMED,0.136672,0.135696,0.137164,0.000845,0.006182,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_3_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_3_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/build.log,950691,gn1224.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,true,Mode B accepted impl=3 baseline
softmax-cuda,Mode_C,final_confirmation,impl4_shape_specialized_large_reduce,mode_b_impl3_shape_dispatch_impl1_small_impl2_large,3,1,3,4,1,100000,128,100,2,0.135696,0.137266,0.135696,0.137277,1.011570,n/a,PASS,VALID,false,MODE_B_BASELINE,SUCCESS_WITH_ADDITIONAL_SPEEDUP,CONFIRMED,0.136672,0.135696,0.137164,0.000845,0.006182,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_3_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_3_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/build.log,950691,gn1224.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,true,Mode B accepted impl=3 baseline
softmax-cuda,Mode_C,final_confirmation,impl4_shape_specialized_large_reduce,mode_b_impl3_shape_dispatch_impl1_small_impl2_large,3,1,3,4,1,100000,128,100,3,0.137164,0.135768,0.137164,0.136533,0.989822,n/a,PASS,VALID,false,MODE_B_BASELINE,SUCCESS_WITH_ADDITIONAL_SPEEDUP,CONFIRMED,0.136672,0.135696,0.137164,0.000845,0.006182,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_3_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_3_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/build.log,950691,gn1224.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,true,Mode B accepted impl=3 baseline
softmax-cuda,Mode_C,final_confirmation,impl4_shape_specialized_large_reduce,impl4_shape_specialized_large_reduce,4,1,3,4,1,100000,128,100,1,0.135834,0.140887,0.137155,0.135834,1.037200,1.009725,PASS,VALID,false,MEASUREMENT_EQUIVALENT,SUCCESS_WITH_ADDITIONAL_SPEEDUP,CONFIRMED,0.136548,0.135834,0.137277,0.000722,0.005285,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_4_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_4_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/build.log,950691,gn1224.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,true,guardrail row: impl=4 dispatches to unchanged impl=1; no small-slice speedup claim
softmax-cuda,Mode_C,final_confirmation,impl4_shape_specialized_large_reduce,impl4_shape_specialized_large_reduce,4,1,3,4,1,100000,128,100,2,0.137277,0.137266,0.135696,0.137277,0.999920,0.988483,PASS,VALID,false,MEASUREMENT_EQUIVALENT,SUCCESS_WITH_ADDITIONAL_SPEEDUP,CONFIRMED,0.136548,0.135834,0.137277,0.000722,0.005285,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_4_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_4_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/build.log,950691,gn1224.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,true,guardrail row: impl=4 dispatches to unchanged impl=1; no small-slice speedup claim
softmax-cuda,Mode_C,final_confirmation,impl4_shape_specialized_large_reduce,impl4_shape_specialized_large_reduce,4,1,3,4,1,100000,128,100,3,0.136533,0.135768,0.137164,0.136533,0.994397,1.004622,PASS,VALID,false,MEASUREMENT_EQUIVALENT,SUCCESS_WITH_ADDITIONAL_SPEEDUP,CONFIRMED,0.136548,0.135834,0.137277,0.000722,0.005285,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_4_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_128_impl_4_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/build.log,950691,gn1224.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,true,guardrail row: impl=4 dispatches to unchanged impl=1; no small-slice speedup claim
softmax-cuda,Mode_C,final_confirmation,impl4_shape_specialized_large_reduce,paired_impl1_baseline,1,1,3,4,1,100000,256,100,1,0.305328,0.305328,0.306476,0.306066,n/a,1.003760,PASS,VALID,false,BASELINE,SUCCESS_WITH_ADDITIONAL_SPEEDUP,CONFIRMED,0.305982,0.305328,0.306551,0.000616,0.002013,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_256_impl_1_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/raw/slice_256_impl_1_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_C_literature_profiler/final_confirmation/build.log,950691,gn1224.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,true,paired impl=1 baseline
