benchmark,mode,round,job_id,node,case,variant,metric_name,metric_value,unit,baseline_metric,speedup,correctness,status,result_type,mean,min,max,stddev,cv,profiler_available,human_decision,notes
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=3072;topk=2048;batch=3072,original,avg_us,795.932353,us,n/a,n/a,PASS,SUCCESS,BASELINE,795.932353,749.472107,844.113098,47.343948,0.059482,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=3072;topk=1024;batch=3072,original,avg_us,708.570719,us,n/a,n/a,PASS,SUCCESS,BASELINE,708.570719,707.471802,710.729431,1.869601,0.002639,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=4096;topk=2048;batch=3072,original,avg_us,1196.406881,us,n/a,n/a,PASS,SUCCESS,BASELINE,1196.406881,804.346802,1951.081055,653.732819,0.546413,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=4096;topk=1024;batch=3072,original,avg_us,751.689087,us,n/a,n/a,PASS,SUCCESS,BASELINE,751.689087,697.027710,787.844055,48.153583,0.064061,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=8192;topk=2048;batch=3072,original,avg_us,1545.942912,us,n/a,n/a,PASS,SUCCESS,BASELINE,1545.942912,1114.514893,2315.438477,668.035637,0.432122,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=8192;topk=1024;batch=3072,original,avg_us,1024.554973,us,n/a,n/a,PASS,SUCCESS,BASELINE,1024.554973,957.955933,1072.367432,59.474360,0.058049,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=16384;topk=2048;batch=3072,original,avg_us,2133.377970,us,n/a,n/a,PASS,SUCCESS,BASELINE,2133.377970,1600.809814,3148.047852,879.092112,0.412066,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=16384;topk=1024;batch=3072,original,avg_us,2279.951986,us,n/a,n/a,PASS,SUCCESS,BASELINE,2279.951986,1823.067871,3050.121338,670.839610,0.294234,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=32768;topk=2048;batch=3072,original,avg_us,3797.051107,us,n/a,n/a,PASS,SUCCESS,BASELINE,3797.051107,3690.222168,3940.613037,129.173841,0.034020,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=32768;topk=1024;batch=3072,original,avg_us,3762.294027,us,n/a,n/a,PASS,SUCCESS,BASELINE,3762.294027,3731.401611,3778.093018,26.755943,0.007112,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=65536;topk=2048;batch=3072,original,avg_us,6925.759277,us,n/a,n/a,PASS,SUCCESS,BASELINE,6925.759277,6684.685547,7275.484863,310.023995,0.044764,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=65536;topk=1024;batch=3072,original,avg_us,6714.668782,us,n/a,n/a,PASS,SUCCESS,BASELINE,6714.668782,6706.788574,6723.828613,8.591787,0.001280,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=131072;topk=2048;batch=3072,original,avg_us,13794.551758,us,n/a,n/a,PASS,SUCCESS,BASELINE,13794.551758,12669.964844,14905.601562,1117.879834,0.081038,True,None_Agent_Only,
topk-cuda,Mode_A,baseline,949515,gn1221.twcc.ai,hidden_size=131072;topk=1024;batch=3072,original,avg_us,13465.549154,us,n/a,n/a,PASS,SUCCESS,BASELINE,13465.549154,13398.254883,13531.327148,66.549089,0.004942,True,None_Agent_Only,
topk-cuda,Mode_A,final,949515,gn1221.twcc.ai,hidden_size=3072;topk=2048;batch=3072,original,avg_us,785.077271,us,795.932353,1.013827,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,785.077271,735.922913,847.900391,57.226438,0.072893,True,None_Agent_Only,
topk-cuda,Mode_A,final,949515,gn1221.twcc.ai,hidden_size=3072;topk=1024;batch=3072,original,avg_us,773.069926,us,708.570719,0.916567,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,773.069926,707.743774,884.992737,97.379337,0.125964,True,None_Agent_Only,
topk-cuda,Mode_A,final,949515,gn1221.twcc.ai,hidden_size=4096;topk=2048;batch=3072,original,avg_us,845.631653,us,1196.406881,1.414809,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,845.631653,753.911560,943.780884,95.097794,0.112458,True,None_Agent_Only,
topk-cuda,Mode_A,final,949515,gn1221.twcc.ai,hidden_size=4096;topk=1024;batch=3072,original,avg_us,863.520386,us,751.689087,0.870494,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,863.520386,756.824585,927.040405,92.959493,0.107652,True,None_Agent_Only,
topk-cuda,Mode_A,final,949515,gn1221.twcc.ai,hidden_size=8192;topk=2048;batch=3072,original,avg_us,1073.884155,us,1545.942912,1.439581,PASS,SUCCESS,MEASUREMENT_EQUIVALENT,1073.884155,1003.944824,1169.662109,85.827038,0.079922,True,None_Agent_Only,
