tokens,topk,experts,block_size,cg_mean,cg_std,cg_min,cg_max,gm_mean,gm_std,gm_min,gm_max,cg_speedup_vs_gm,cg_adv_pct,winner
1,2,32,32,9.013970500000001,0.10513146965294863,8.87969,9.22016,7.8260413,0.14606838787442478,7.68807,8.10632,0.8682124375712122,-13.178756242878775,GM_V3
1,2,128,32,10.0453981,0.054571862982981736,9.96273,10.12994,14.164772500000002,0.049541738208527204,14.094151,14.22713,1.4100757739008871,41.00757739008871,CG_V3
1,3,32,32,4.042688,0.030028344683722306,3.98655,4.07118,6.2376571,0.02595198309035786,6.20312,6.27798,1.5429479346415058,54.29479346415058,CG_V3
1,3,128,32,9.5891205,0.03957310144600229,9.52492,9.67379,14.2192979,0.02827259612907466,14.158542,14.246481,1.4828573590247407,48.28573590247407,CG_V3
1,4,32,32,4.246733,0.03844641813976671,4.18054,4.30419,6.2381892,0.03599761861814994,6.19965,6.31148,1.4689384051222434,46.89384051222434,CG_V3
1,4,128,32,9.5879183,0.040950594588139794,9.52344,9.67586,14.191758799999999,0.04236198260704924,14.101041,14.241171,1.4801710189791666,48.01710189791666,CG_V3
3,2,32,32,4.5164161,0.044609643911129454,4.452981,4.59604,6.25137,0.035837900484140026,6.20181,6.30733,1.3841439454615352,38.41439454615352,CG_V3
3,2,128,32,9.589597600000001,0.03920048365404564,9.5421,9.66042,14.225519700000001,0.0456404792385255,14.138551,14.30978,1.4834323913654104,48.34323913654104,CG_V3
3,3,32,32,4.538372,0.04102758362099538,4.47843,4.59551,6.249560300000001,0.03641899410121653,6.207581,6.3179,1.377048928558523,37.7048928558523,CG_V3
3,3,128,32,9.5945634,0.04122537625783388,9.538211,9.66104,14.242619600000001,0.04820163450940032,14.17191,14.32534,1.4844468691509194,48.444686915091935,CG_V3
3,4,32,32,4.549486,0.04200301740483767,4.48908,4.61629,6.432756100000001,0.04422264860767356,6.37017,6.50035,1.4139522794443153,41.39522794443153,CG_V3
3,4,128,32,9.6045737,0.03849380329654834,9.54102,9.668231,14.2414896,0.051328995840990176,14.161051,14.330112,1.48278206246676,48.27820624667601,CG_V3
256,2,32,32,24.6402486,0.03590025468247646,24.574202,24.690462,7.1369961,0.05516586052673833,7.05997,7.23601,0.2896478934064001,-71.03521065935998,GM_V3
256,2,128,32,9.9476403,0.06554712135564165,9.84576,10.0317,15.4516429,0.05187124031344876,15.38655,15.538811,1.5532973081063255,55.32973081063255,CG_V3
256,3,32,32,34.506366,0.03917243215720831,34.448433,34.588192,7.4982523,0.049033102163629196,7.43179,7.564281,0.21730054970146667,-78.26994502985333,GM_V3
256,3,128,32,9.9717123,0.05097289574982186,9.90262,10.068871,15.9164278,0.027019772269786094,15.868721,15.945211,1.5961579437064184,59.61579437064184,CG_V3
256,4,32,32,44.7644271,0.05137356046850429,44.686993,44.848682,7.9251252999999995,0.03753267729163179,7.87653,7.98865,0.17704069533372851,-82.29593046662715,GM_V3
256,4,128,32,10.0105845,0.05213461650434929,9.92634,10.09231,16.3886549,0.023137596376891688,16.349541,16.41576,1.6371326669286892,63.71326669286892,CG_V3
4096,2,32,32,15.1363668,0.059836073888582766,15.056571,15.24744,12.7364584,0.1073315230584399,12.54113,12.937151,0.8414475262319886,-15.85524737680114,GM_V3
4096,2,128,32,14.6245898,0.08074487067823251,14.495221,14.750571,15.9034947,0.07045627583914815,15.808291,16.010201,1.0874489416448452,8.744894164484517,CG_V3
4096,3,32,32,18.2097599,0.0803300399967398,18.072111,18.35368,14.2844325,0.05270251501746932,14.22395,14.37582,0.7844382670855533,-21.55617329144467,GM_V3
4096,3,128,32,17.542801,0.07290479825849068,17.410271,17.633492,17.7240648,0.1089993800795821,17.572681,17.861811,1.0103326601037086,1.033266010370859,CG_V3
4096,4,32,32,20.9583526,0.06672690423942614,20.85614,21.037971,15.841650699999999,0.06654863974242212,15.771721,15.975121,0.7558633544508645,-24.41366455491355,GM_V3
4096,4,128,32,19.9457886,0.04949333596713503,19.877081,20.05414,19.200988900000002,0.03487721121767371,19.142441,19.240261,0.9626587990609708,-3.734120093902915,GM_V3
8192,2,32,32,21.1406595,0.08552579485258688,21.025152,21.278372,15.821180799999999,0.036602492479793185,15.76827,15.892981,0.7483768801063182,-25.16231198936818,GM_V3
8192,2,128,32,19.9995721,0.07523934234671815,19.89118,20.107971,19.261338900000002,0.03858483884881246,19.21174,19.334101,0.9630875502581377,-3.691244974186225,GM_V3
8192,3,32,32,26.788766099999997,0.06399404623947356,26.705151,26.894522,19.2795859,0.09123397098967273,19.183811,19.447081,0.719689209575054,-28.0310790424946,GM_V3
8192,3,128,32,25.3636807,0.09529205039019173,25.207542,25.475611,22.6446042,0.08011577546526004,22.509972,22.73896,0.8927964544199612,-10.720354558003875,GM_V3
8192,4,32,32,33.091105600000006,0.04155535126444199,33.005291,33.142231,22.5355899,0.08554654917314539,22.463539,22.731501,0.6810165297106301,-31.89834702893699,GM_V3
8192,4,128,32,31.235385200000003,0.04549921139194526,31.1782,31.300142,25.738218699999997,0.08808661249783918,25.633812,25.853863,0.8240083653586572,-17.599163464134282,GM_V3
