tag,job_id,node,tokens,topk,experts,block_size,latency_us,correctness,status,accepted,mean_latency_us,speedup_vs_baseline
baseline,948013,gn1222,1,2,32,32,12.233857,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,1,3,32,32,11.919770,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,1,4,32,32,11.918153,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,1,2,128,32,16.188017,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,1,3,128,32,16.265076,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,1,4,128,32,16.198227,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,3,2,32,32,11.922036,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,3,3,32,32,11.930408,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,3,4,32,32,12.041750,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,3,2,128,32,16.237841,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,3,3,128,32,16.249554,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,3,4,128,32,16.230148,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,256,2,32,32,13.550758,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,256,3,32,32,14.464845,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,256,4,32,32,16.701511,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,256,2,128,32,16.471741,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,256,3,128,32,16.553774,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,256,4,128,32,16.499422,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,4096,2,32,32,21.035830,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,4096,3,32,32,23.542009,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,4096,4,32,32,25.809927,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,4096,2,128,32,20.557356,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,4096,3,128,32,22.990267,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,4096,4,128,32,25.100201,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,8192,2,32,32,26.002132,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,8192,3,32,32,31.030277,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,8192,4,32,32,36.177139,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,8192,2,128,32,25.007883,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,8192,3,128,32,29.648033,PASS,baseline,yes,19.504113,1.000000
baseline,948013,gn1222,8192,4,128,32,34.645435,PASS,baseline,yes,19.504113,1.000000
opt1,948014,gn1222,1,2,32,32,12.132113,PASS,accepted,yes,16.899124,1.008386
opt1,948014,gn1222,1,3,32,32,11.833865,PASS,accepted,yes,16.899124,1.007259
opt1,948014,gn1222,1,4,32,32,11.831211,PASS,accepted,yes,16.899124,1.007349
opt1,948014,gn1222,1,2,128,32,12.699002,PASS,accepted,yes,16.899124,1.274747
opt1,948014,gn1222,1,3,128,32,12.710266,PASS,accepted,yes,16.899124,1.279680
opt1,948014,gn1222,1,4,128,32,12.727370,PASS,accepted,yes,16.899124,1.272708
opt1,948014,gn1222,3,2,32,32,11.832788,PASS,accepted,yes,16.899124,1.007542
opt1,948014,gn1222,3,3,32,32,11.831245,PASS,accepted,yes,16.899124,1.008381
opt1,948014,gn1222,3,4,32,32,11.983381,PASS,accepted,yes,16.899124,1.004871
opt1,948014,gn1222,3,2,128,32,12.715375,PASS,accepted,yes,16.899124,1.277024
opt1,948014,gn1222,3,3,128,32,12.722303,PASS,accepted,yes,16.899124,1.277249
opt1,948014,gn1222,3,4,128,32,12.710102,PASS,accepted,yes,16.899124,1.276949
opt1,948014,gn1222,256,2,32,32,13.531648,PASS,accepted,yes,16.899124,1.001412
opt1,948014,gn1222,256,3,32,32,14.419940,PASS,accepted,yes,16.899124,1.003114
opt1,948014,gn1222,256,4,32,32,13.117151,PASS,accepted,yes,16.899124,1.273258
opt1,948014,gn1222,256,2,128,32,13.057592,PASS,accepted,yes,16.899124,1.261469
opt1,948014,gn1222,256,3,128,32,13.093343,PASS,accepted,yes,16.899124,1.264289
opt1,948014,gn1222,256,4,128,32,13.091251,PASS,accepted,yes,16.899124,1.260340
opt1,948014,gn1222,4096,2,32,32,17.557606,PASS,accepted,yes,16.899124,1.198104
opt1,948014,gn1222,4096,3,32,32,20.046938,PASS,accepted,yes,16.899124,1.174344
opt1,948014,gn1222,4096,4,32,32,22.407234,PASS,accepted,yes,16.899124,1.151857
opt1,948014,gn1222,4096,2,128,32,16.967539,PASS,accepted,yes,16.899124,1.211570
opt1,948014,gn1222,4096,3,128,32,19.435101,PASS,accepted,yes,16.899124,1.182925
opt1,948014,gn1222,4096,4,128,32,21.477438,PASS,accepted,yes,16.899124,1.168678
opt1,948014,gn1222,8192,2,32,32,22.493002,PASS,accepted,yes,16.899124,1.156010
opt1,948014,gn1222,8192,3,32,32,27.271412,PASS,accepted,yes,16.899124,1.137832
opt1,948014,gn1222,8192,4,32,32,32.644665,PASS,accepted,yes,16.899124,1.108210
opt1,948014,gn1222,8192,2,128,32,21.558565,PASS,accepted,yes,16.899124,1.159998
opt1,948014,gn1222,8192,3,128,32,26.047880,PASS,accepted,yes,16.899124,1.138213
opt1,948014,gn1222,8192,4,128,32,31.026382,PASS,accepted,yes,16.899124,1.116644
opt2,948015,gn1222,1,2,32,32,12.345174,PASS,rejected,no,22.465978,0.990983
opt2,948015,gn1222,1,3,32,32,12.036405,PASS,rejected,no,22.465978,0.990310
opt2,948015,gn1222,1,4,32,32,12.025952,PASS,rejected,no,22.465978,0.991036
opt2,948015,gn1222,1,2,128,32,30.253679,PASS,rejected,no,22.465978,0.535076
opt2,948015,gn1222,1,3,128,32,30.252295,PASS,rejected,no,22.465978,0.537648
opt2,948015,gn1222,1,4,128,32,30.244940,PASS,rejected,no,22.465978,0.535568
opt2,948015,gn1222,3,2,32,32,12.039462,PASS,rejected,no,22.465978,0.990247
opt2,948015,gn1222,3,3,32,32,12.034630,PASS,rejected,no,22.465978,0.991340
opt2,948015,gn1222,3,4,32,32,12.117935,PASS,rejected,no,22.465978,0.993713
opt2,948015,gn1222,3,2,128,32,30.309835,PASS,rejected,no,22.465978,0.535728
opt2,948015,gn1222,3,3,128,32,30.307434,PASS,rejected,no,22.465978,0.536157
opt2,948015,gn1222,3,4,128,32,30.298018,PASS,rejected,no,22.465978,0.535683
opt2,948015,gn1222,256,2,32,32,13.663037,PASS,rejected,no,22.465978,0.991782
opt2,948015,gn1222,256,3,32,32,14.552578,PASS,rejected,no,22.465978,0.993971
opt2,948015,gn1222,256,4,32,32,15.606005,PASS,rejected,no,22.465978,1.070198
opt2,948015,gn1222,256,2,128,32,31.391302,PASS,rejected,no,22.465978,0.524723
opt2,948015,gn1222,256,3,128,32,31.826269,PASS,rejected,no,22.465978,0.520129
opt2,948015,gn1222,256,4,128,32,32.264980,PASS,rejected,no,22.465978,0.511372
opt2,948015,gn1222,4096,2,32,32,17.589102,PASS,rejected,no,22.465978,1.195958
opt2,948015,gn1222,4096,3,32,32,20.118237,PASS,rejected,no,22.465978,1.170183
