benchmark,job_id,node,prompt_level,submission_index,variant,case,metric_name,metric_value,metric_unit,correctness,status,result_type,accepted,reject_reason,notes
allreduce-cuda,948003,gn1222,P3,baseline,baseline_env_fix,size_bytes=0,allreduce_latency,9.291110,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948003,gn1222,P3,baseline,baseline_env_fix,size_bytes=32,allreduce_latency,59.196200,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948003,gn1222,P3,baseline,baseline_env_fix,size_bytes=256,allreduce_latency,58.051800,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948003,gn1222,P3,baseline,baseline_env_fix,size_bytes=1024,allreduce_latency,60.725700,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948003,gn1222,P3,baseline,baseline_env_fix,size_bytes=4096,allreduce_latency,68.616600,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948003,gn1222,P3,baseline,baseline_env_fix,size_bytes=16384,allreduce_latency,56.388100,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948003,gn1222,P3,baseline,baseline_env_fix,size_bytes=65536,allreduce_latency,101.287000,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948003,gn1222,P3,baseline,baseline_env_fix,size_bytes=262144,allreduce_latency,1022.820000,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948003,gn1222,P3,baseline,baseline_env_fix,size_bytes=1048576,allreduce_latency,2412.580000,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948003,gn1222,P3,baseline,baseline_env_fix,size_bytes=8388608,allreduce_latency,3977.000000,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948003,gn1222,P3,baseline,baseline_env_fix,size_bytes=67108864,allreduce_latency,17791.600000,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948003,gn1222,P3,baseline,baseline_env_fix,size_bytes=536870912,allreduce_latency,132098.000000,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948004,gn1222,P3,1,env_fix_trial,size_bytes=0,allreduce_latency,9.350480,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948004,gn1222,P3,1,env_fix_trial,size_bytes=32,allreduce_latency,59.360400,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948004,gn1222,P3,1,env_fix_trial,size_bytes=256,allreduce_latency,58.595700,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948004,gn1222,P3,1,env_fix_trial,size_bytes=1024,allreduce_latency,61.084800,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948004,gn1222,P3,1,env_fix_trial,size_bytes=4096,allreduce_latency,72.843600,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948004,gn1222,P3,1,env_fix_trial,size_bytes=16384,allreduce_latency,56.169700,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948004,gn1222,P3,1,env_fix_trial,size_bytes=65536,allreduce_latency,100.780000,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948004,gn1222,P3,1,env_fix_trial,size_bytes=262144,allreduce_latency,1010.500000,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948004,gn1222,P3,1,env_fix_trial,size_bytes=1048576,allreduce_latency,1980.370000,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948004,gn1222,P3,1,env_fix_trial,size_bytes=8388608,allreduce_latency,4390.410000,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948004,gn1222,P3,1,env_fix_trial,size_bytes=67108864,allreduce_latency,17636.500000,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948004,gn1222,P3,1,env_fix_trial,size_bytes=536870912,allreduce_latency,133110.000000,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948005,gn1222,P3,2,env_fix_trial,size_bytes=0,allreduce_latency,9.454290,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948005,gn1222,P3,2,env_fix_trial,size_bytes=32,allreduce_latency,59.839500,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948005,gn1222,P3,2,env_fix_trial,size_bytes=256,allreduce_latency,58.569800,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
allreduce-cuda,948005,gn1222,P3,2,env_fix_trial,size_bytes=1024,allreduce_latency,61.323200,us_per_iteration,PASS,accepted,ENV_FIX,true,,UCX_TLS=self|shm|cuda_copy|cuda_ipc; coll=^hcoll|ucc; pml=ucx
