benchmark,mode,round_id,human_decision,variant,impl,dispatch_selected_impl,baseline_impl,numSlice,sliceSize,repeat,trial_id,time_ms,baseline_time_ms,speedup_vs_impl1,correctness_status,measurement_validity,speedup_claim_valid,result_type,mean_ms,min_ms,max_ms,stddev_ms,cv,raw_stdout_path,raw_stderr_path,build_log_path,slurm_job_id,hostname,gpu_name,cuda_version,profiler_status,notes
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,100000,128,100,1,0.134951,0.134951,n/a,PASS,VALID,false,BASELINE,0.134869,0.134827,0.134951,0.000071,0.000525,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_128_impl_1_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_128_impl_1_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,100000,128,100,2,0.134827,0.134827,n/a,PASS,VALID,false,BASELINE,0.134869,0.134827,0.134951,0.000071,0.000525,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_128_impl_1_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_128_impl_1_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,100000,128,100,3,0.134830,0.134830,n/a,PASS,VALID,false,BASELINE,0.134869,0.134827,0.134951,0.000071,0.000525,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_128_impl_1_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_128_impl_1_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,1,1,100000,128,100,1,0.134521,0.134951,1.003197,PASS,VALID,false,MEASUREMENT_EQUIVALENT,0.134574,0.134521,0.134635,0.000057,0.000427,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_128_impl_3_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_128_impl_3_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=1; result_type fixed to MEASUREMENT_EQUIVALENT and no speedup claim
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,1,1,100000,128,100,2,0.134635,0.134827,1.001426,PASS,VALID,false,MEASUREMENT_EQUIVALENT,0.134574,0.134521,0.134635,0.000057,0.000427,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_128_impl_3_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_128_impl_3_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=1; result_type fixed to MEASUREMENT_EQUIVALENT and no speedup claim
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,1,1,100000,128,100,3,0.134565,0.134830,1.001969,PASS,VALID,false,MEASUREMENT_EQUIVALENT,0.134574,0.134521,0.134635,0.000057,0.000427,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_128_impl_3_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_128_impl_3_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=1; result_type fixed to MEASUREMENT_EQUIVALENT and no speedup claim
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,100000,256,100,1,0.322012,0.322012,n/a,PASS,VALID,false,BASELINE,0.321793,0.321139,0.322228,0.000577,0.001792,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_256_impl_1_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_256_impl_1_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,100000,256,100,2,0.322228,0.322228,n/a,PASS,VALID,false,BASELINE,0.321793,0.321139,0.322228,0.000577,0.001792,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_256_impl_1_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_256_impl_1_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,100000,256,100,3,0.321139,0.321139,n/a,PASS,VALID,false,BASELINE,0.321793,0.321139,0.322228,0.000577,0.001792,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_256_impl_1_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_256_impl_1_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,1,1,100000,256,100,1,0.321697,0.322012,1.000979,PASS,VALID,false,MEASUREMENT_EQUIVALENT,0.321505,0.321088,0.321731,0.000362,0.001125,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_256_impl_3_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_256_impl_3_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=1; result_type fixed to MEASUREMENT_EQUIVALENT and no speedup claim
