benchmark,mode,round_id,human_decision,variant,impl,baseline_impl,numSlice,sliceSize,repeat,trial_id,time_ms,baseline_time_ms,speedup_vs_impl1,correctness_status,measurement_validity,speedup_claim_valid,result_type,mean_ms,min_ms,max_ms,stddev_ms,cv,raw_stdout_path,raw_stderr_path,build_log_path,slurm_job_id,hostname,gpu_name,cuda_version,profiler_status,notes
softmax-cuda,Mode_B,1,Approved,paired_impl1_baseline,1,1,100000,128,100,1,0.135501,0.135501,n/a,PASS,VALID,false,BASELINE,0.135152,0.134954,0.135501,0.000303,0.002241,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_128_impl_1_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_128_impl_1_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/build.log,949687,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm job
softmax-cuda,Mode_B,1,Approved,paired_impl1_baseline,1,1,100000,128,100,2,0.134954,0.134954,n/a,PASS,VALID,false,BASELINE,0.135152,0.134954,0.135501,0.000303,0.002241,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_128_impl_1_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_128_impl_1_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/build.log,949687,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm job
softmax-cuda,Mode_B,1,Approved,paired_impl1_baseline,1,1,100000,128,100,3,0.135002,0.135002,n/a,PASS,VALID,false,BASELINE,0.135152,0.134954,0.135501,0.000303,0.002241,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_128_impl_1_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_128_impl_1_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/build.log,949687,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm job
softmax-cuda,Mode_B,1,Approved,impl2_block_cached_exp_compound,2,1,100000,128,100,1,0.554628,0.135501,0.244310,PASS,VALID,false,REGRESSION,0.554750,0.554628,0.554822,0.000106,0.000192,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_128_impl_2_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_128_impl_2_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/build.log,949687,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,compound candidate: block-per-slice plus shared-memory cached exponentials; do not attribute speedup solely to cached exponentials
softmax-cuda,Mode_B,1,Approved,impl2_block_cached_exp_compound,2,1,100000,128,100,2,0.554822,0.134954,0.243238,PASS,VALID,false,REGRESSION,0.554750,0.554628,0.554822,0.000106,0.000192,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_128_impl_2_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_128_impl_2_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/build.log,949687,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,compound candidate: block-per-slice plus shared-memory cached exponentials; do not attribute speedup solely to cached exponentials
softmax-cuda,Mode_B,1,Approved,impl2_block_cached_exp_compound,2,1,100000,128,100,3,0.554801,0.135002,0.243334,PASS,VALID,false,REGRESSION,0.554750,0.554628,0.554822,0.000106,0.000192,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_128_impl_2_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_128_impl_2_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/build.log,949687,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,compound candidate: block-per-slice plus shared-memory cached exponentials; do not attribute speedup solely to cached exponentials
softmax-cuda,Mode_B,1,Approved,paired_impl1_baseline,1,1,100000,256,100,1,0.322850,0.322850,n/a,PASS,VALID,false,BASELINE,0.323384,0.322420,0.324883,0.001316,0.004068,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_256_impl_1_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_256_impl_1_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/build.log,949687,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm job
softmax-cuda,Mode_B,1,Approved,paired_impl1_baseline,1,1,100000,256,100,2,0.324883,0.324883,n/a,PASS,VALID,false,BASELINE,0.323384,0.322420,0.324883,0.001316,0.004068,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_256_impl_1_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_256_impl_1_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/build.log,949687,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm job
softmax-cuda,Mode_B,1,Approved,paired_impl1_baseline,1,1,100000,256,100,3,0.322420,0.322420,n/a,PASS,VALID,false,BASELINE,0.323384,0.322420,0.324883,0.001316,0.004068,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_256_impl_1_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_256_impl_1_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/build.log,949687,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm job
softmax-cuda,Mode_B,1,Approved,impl2_block_cached_exp_compound,2,1,100000,256,100,1,0.593995,0.322850,n/a,FAIL,INVALID,false,INVALID,0.594147,0.593995,0.594363,0.000192,0.000324,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_256_impl_2_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/raw/slice_256_impl_2_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_1/build.log,949687,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,compound candidate: block-per-slice plus shared-memory cached exponentials; do not attribute speedup solely to cached exponentials
