benchmark,mode,round_id,human_decision,variant,impl,dispatch_selected_impl,baseline_impl,numSlice,sliceSize,repeat,trial_id,time_ms,baseline_time_ms,speedup_vs_impl1,correctness_status,measurement_validity,speedup_claim_valid,result_type,mean_ms,min_ms,max_ms,stddev_ms,cv,raw_stdout_path,raw_stderr_path,build_log_path,slurm_job_id,hostname,gpu_name,cuda_version,profiler_status,notes
softmax-cuda,Mode_B,2,Approved,paired_impl1_baseline,1,1,1,100000,128,100,1,0.162902,0.162902,n/a,PASS,CAUTION,false,BASELINE,0.144732,0.135642,0.162902,0.015736,0.108723,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_128_impl_1_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_128_impl_1_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/build.log,949703,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm job
softmax-cuda,Mode_B,2,Approved,paired_impl1_baseline,1,1,1,100000,128,100,2,0.135652,0.135652,n/a,PASS,CAUTION,false,BASELINE,0.144732,0.135642,0.162902,0.015736,0.108723,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_128_impl_1_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_128_impl_1_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/build.log,949703,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm job
softmax-cuda,Mode_B,2,Approved,paired_impl1_baseline,1,1,1,100000,128,100,3,0.135642,0.135642,n/a,PASS,CAUTION,false,BASELINE,0.144732,0.135642,0.162902,0.015736,0.108723,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_128_impl_1_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_128_impl_1_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/build.log,949703,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm job
softmax-cuda,Mode_B,2,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,1,1,100000,128,100,1,0.135714,0.162902,1.200333,PASS,VALID,false,MEASUREMENT_EQUIVALENT,0.135674,0.135580,0.135728,0.000082,0.000602,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_128_impl_3_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_128_impl_3_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/build.log,949703,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,shape-aware dispatch selected unchanged impl=1; no kernel optimization or speedup claim
softmax-cuda,Mode_B,2,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,1,1,100000,128,100,2,0.135728,0.135652,0.999440,PASS,VALID,false,MEASUREMENT_EQUIVALENT,0.135674,0.135580,0.135728,0.000082,0.000602,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_128_impl_3_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_128_impl_3_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/build.log,949703,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,shape-aware dispatch selected unchanged impl=1; no kernel optimization or speedup claim
softmax-cuda,Mode_B,2,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,1,1,100000,128,100,3,0.135580,0.135642,1.000457,PASS,VALID,false,MEASUREMENT_EQUIVALENT,0.135674,0.135580,0.135728,0.000082,0.000602,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_128_impl_3_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_128_impl_3_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/build.log,949703,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,shape-aware dispatch selected unchanged impl=1; no kernel optimization or speedup claim
softmax-cuda,Mode_B,2,Approved,paired_impl1_baseline,1,1,1,100000,256,100,1,0.305259,0.305259,n/a,PASS,VALID,false,BASELINE,0.305251,0.305019,0.305476,0.000229,0.000749,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_256_impl_1_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_256_impl_1_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/build.log,949703,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm job
softmax-cuda,Mode_B,2,Approved,paired_impl1_baseline,1,1,1,100000,256,100,2,0.305476,0.305476,n/a,PASS,VALID,false,BASELINE,0.305251,0.305019,0.305476,0.000229,0.000749,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_256_impl_1_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_256_impl_1_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/build.log,949703,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm job
softmax-cuda,Mode_B,2,Approved,paired_impl1_baseline,1,1,1,100000,256,100,3,0.305019,0.305019,n/a,PASS,VALID,false,BASELINE,0.305251,0.305019,0.305476,0.000229,0.000749,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_256_impl_1_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_256_impl_1_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/build.log,949703,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm job
softmax-cuda,Mode_B,2,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,1,1,100000,256,100,1,0.305011,0.305259,1.000813,PASS,VALID,false,MEASUREMENT_EQUIVALENT,0.306408,0.304619,0.309595,0.002767,0.009029,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_256_impl_3_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_256_impl_3_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/build.log,949703,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,shape-aware dispatch selected unchanged impl=1; no kernel optimization or speedup claim
softmax-cuda,Mode_B,2,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,1,1,100000,256,100,2,0.309595,0.305476,0.986696,PASS,VALID,false,MEASUREMENT_EQUIVALENT,0.306408,0.304619,0.309595,0.002767,0.009029,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_256_impl_3_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_256_impl_3_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/build.log,949703,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,shape-aware dispatch selected unchanged impl=1; no kernel optimization or speedup claim
softmax-cuda,Mode_B,2,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,1,1,100000,256,100,3,0.304619,0.305019,1.001313,PASS,VALID,false,MEASUREMENT_EQUIVALENT,0.306408,0.304619,0.309595,0.002767,0.009029,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_256_impl_3_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/raw/slice_256_impl_3_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/rounds/round_2/build.log,949703,gn1221.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,shape-aware dispatch selected unchanged impl=1; no kernel optimization or speedup claim
