benchmark,mode,round,job_id,node,case,variant,metric_name,metric_value,unit,baseline_metric,speedup,correctness,status,result_type,mean,min,max,stddev,cv,profiler_available,human_decision,correctness_status,measurement_validity,speedup_claim_valid,require_remeasurement,notes
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=3072;topk=1024;batch=3072,original,avg_us,635.404907,us,n/a,n/a,PASS,SUCCESS,BASELINE,635.404907,610.966736,713.488342,39.208576,0.061706,False,Approved,PASS,CAUTION,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=3072;topk=2048;batch=3072,original,avg_us,637.934169,us,n/a,n/a,PASS,SUCCESS,BASELINE,637.934169,623.612061,681.591736,21.348296,0.033465,False,Approved,PASS,VALID,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=4096;topk=1024;batch=3072,original,avg_us,703.540963,us,n/a,n/a,PASS,SUCCESS,BASELINE,703.540963,679.177002,756.643799,32.356131,0.045990,False,Approved,PASS,VALID,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=4096;topk=2048;batch=3072,original,avg_us,716.013271,us,n/a,n/a,PASS,SUCCESS,BASELINE,716.013271,688.715942,800.327942,42.645449,0.059560,False,Approved,PASS,CAUTION,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=8192;topk=1024;batch=3072,original,avg_us,902.459516,us,n/a,n/a,PASS,SUCCESS,BASELINE,902.459516,873.797607,966.356812,42.580133,0.047182,False,Approved,PASS,VALID,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=8192;topk=2048;batch=3072,original,avg_us,986.985683,us,n/a,n/a,PASS,SUCCESS,BASELINE,986.985683,955.587524,1091.439331,47.271417,0.047895,False,Approved,PASS,VALID,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=16384;topk=1024;batch=3072,original,avg_us,1658.693290,us,n/a,n/a,PASS,SUCCESS,BASELINE,1658.693290,1614.081543,1769.815796,60.279410,0.036342,False,Approved,PASS,VALID,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=16384;topk=2048;batch=3072,original,avg_us,1560.042358,us,n/a,n/a,PASS,SUCCESS,BASELINE,1560.042358,1508.478760,1660.096069,62.217421,0.039882,False,Approved,PASS,VALID,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=32768;topk=1024;batch=3072,original,avg_us,3385.859968,us,n/a,n/a,PASS,SUCCESS,BASELINE,3385.859968,3316.985107,3516.747559,78.606815,0.023216,False,Approved,PASS,VALID,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=32768;topk=2048;batch=3072,original,avg_us,3585.032226,us,n/a,n/a,PASS,SUCCESS,BASELINE,3585.032226,3454.236328,3797.889648,135.922973,0.037914,False,Approved,PASS,VALID,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=65536;topk=1024;batch=3072,original,avg_us,6303.358119,us,n/a,n/a,PASS,SUCCESS,BASELINE,6303.358119,6129.825684,6579.688965,182.279416,0.028918,False,Approved,PASS,VALID,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=65536;topk=2048;batch=3072,original,avg_us,6411.684361,us,n/a,n/a,PASS,SUCCESS,BASELINE,6411.684361,6309.189941,6605.044922,124.168144,0.019366,False,Approved,PASS,VALID,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=131072;topk=1024;batch=3072,original,avg_us,11791.185965,us,n/a,n/a,PASS,SUCCESS,BASELINE,11791.185965,11689.026367,12040.136719,153.230129,0.012995,False,Approved,PASS,VALID,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
topk-cuda,Mode_B,baseline,949641,gn1102.twcc.ai,hidden_size=131072;topk=2048;batch=3072,original,avg_us,12002.723493,us,n/a,n/a,PASS,SUCCESS,BASELINE,12002.723493,11907.041016,12352.266602,165.037275,0.013750,False,Approved,PASS,VALID,false,false,Mode B robust baseline; seven trials run up front because Mode A exposed high-CV pseudo-speedups.
