job_id,node,batch_size,hidden_size,topk,repeat,variant,avg_us,correctness,status,notes
947403,gn1230,3072,3072,1024,100,baseline,658.667,PASS,PASS,-
947405,gn1230,3072,3072,1024,100,workspace_reuse_block512,307.651,PASS,PASS,-
947403,gn1230,3072,3072,2048,100,baseline,708.311,PASS,PASS,-
947405,gn1230,3072,3072,2048,100,workspace_reuse_block512,324.413,PASS,PASS,-
947403,gn1230,3072,4096,1024,100,baseline,701.696,PASS,PASS,-
947405,gn1230,3072,4096,1024,100,workspace_reuse_block512,383.570,PASS,PASS,-
947403,gn1230,3072,4096,2048,100,baseline,745.359,PASS,PASS,-
947405,gn1230,3072,4096,2048,100,workspace_reuse_block512,401.818,PASS,PASS,-
947403,gn1230,3072,8192,1024,100,baseline,931.707,PASS,PASS,-
947405,gn1230,3072,8192,1024,100,workspace_reuse_block512,601.754,PASS,PASS,-
947403,gn1230,3072,8192,2048,100,baseline,1009.531,PASS,PASS,-
947405,gn1230,3072,8192,2048,100,workspace_reuse_block512,752.660,PASS,PASS,-
947403,gn1230,3072,16384,1024,100,baseline,1654.589,PASS,PASS,-
947405,gn1230,3072,16384,1024,100,workspace_reuse_block512,1495.163,PASS,PASS,-
947403,gn1230,3072,16384,2048,100,baseline,1523.261,PASS,PASS,-
947405,gn1230,3072,16384,2048,100,workspace_reuse_block512,1177.631,PASS,PASS,-
947403,gn1230,3072,32768,1024,100,baseline,3407.964,PASS,PASS,-
947405,gn1230,3072,32768,1024,100,workspace_reuse_block512,2841.672,PASS,PASS,-
947403,gn1230,3072,32768,2048,100,baseline,3593.318,PASS,PASS,-
947405,gn1230,3072,32768,2048,100,workspace_reuse_block512,2966.231,PASS,PASS,-
947403,gn1230,3072,65536,1024,100,baseline,6257.305,PASS,PASS,-
947405,gn1230,3072,65536,1024,100,workspace_reuse_block512,5489.397,PASS,PASS,-
947403,gn1230,3072,65536,2048,100,baseline,6445.374,PASS,PASS,-
947405,gn1230,3072,65536,2048,100,workspace_reuse_block512,5648.804,PASS,PASS,-
947403,gn1230,3072,131072,1024,100,baseline,11865.856,PASS,PASS,-
947405,gn1230,3072,131072,1024,100,workspace_reuse_block512,10784.850,PASS,PASS,-
947403,gn1230,3072,131072,2048,100,baseline,12089.160,PASS,PASS,-
947405,gn1230,3072,131072,2048,100,workspace_reuse_block512,11015.209,PASS,PASS,-
